epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,53.8214,0.89596,0.92917,1.17632,0.8568,0.41667,0.62441,0.37598,1.90205,1.93445,1.56867,2.23929e-05,2.23929e-05,2.23929e-05
78,54.5373,0.81056,1.06612,1.20304,0.8613,0.41667,0.62515,0.36735,1.91254,1.98382,1.57687,2.17805e-05,2.17805e-05,2.17805e-05
79,55.2515,1.11775,1.85057,1.59701,0.8613,0.41667,0.62515,0.36735,1.91254,1.98382,1.57687,2.11444e-05,2.11444e-05,2.11444e-05
80,55.9384,0.62306,0.9808,1.15874,0.8613,0.41667,0.62515,0.36735,1.91254,1.98382,1.57687,2.04848e-05,2.04848e-05,2.04848e-05
81,56.6634,0.87703,0.94364,1.18255,0.97643,0.35151,0.57101,0.3245,1.91036,1.99603,1.57614,1.98016e-05,1.98016e-05,1.98016e-05
82,57.37,0.51959,0.57602,0.97683,0.97643,0.35151,0.57101,0.3245,1.91036,1.99603,1.57614,1.90949e-05,1.90949e-05,1.90949e-05
83,58.0604,0.75984,0.98728,1.15836,0.97643,0.35151,0.57101,0.3245,1.91036,1.99603,1.57614,1.83646e-05,1.83646e-05,1.83646e-05
84,58.7915,0.80335,1.63265,1.30124,0.97625,0.35153,0.52931,0.29645,1.9017,2.02565,1.57367,1.76107e-05,1.76107e-05,1.76107e-05
85,59.4797,0.64879,0.90636,1.17488,0.97625,0.35153,0.52931,0.29645,1.9017,2.02565,1.57367,1.68333e-05,1.68333e-05,1.68333e-05
86,60.1706,0.74501,1.1346,1.2082,0.97625,0.35153,0.52931,0.29645,1.9017,2.02565,1.57367,1.60323e-05,1.60323e-05,1.60323e-05
87,60.8494,0.72012,0.77208,1.20664,0.97625,0.35153,0.52931,0.29645,1.9017,2.02565,1.57367,1.52077e-05,1.52077e-05,1.52077e-05
88,61.5694,0.74399,1.1399,1.14459,0.97722,0.35154,0.47888,0.29784,1.91394,2.1279,1.59871,1.43596e-05,1.43596e-05,1.43596e-05
89,62.2596,0.67863,0.7992,1.21308,0.97722,0.35154,0.47888,0.29784,1.91394,2.1279,1.59871,1.34879e-05,1.34879e-05,1.34879e-05
90,62.9596,0.84627,0.76355,1.12942,0.97722,0.35154,0.47888,0.29784,1.91394,2.1279,1.59871,1.25927e-05,1.25927e-05,1.25927e-05
91,67.0001,0.69375,0.88141,1.1421,0.97722,0.35154,0.47888,0.29784,1.91394,2.1279,1.59871,1.16739e-05,1.16739e-05,1.16739e-05
92,67.7572,0.57961,0.72468,0.96251,0.97621,0.35155,0.4792,0.29822,1.90313,2.11984,1.58814,1.07315e-05,1.07315e-05,1.07315e-05
93,68.4277,0.52785,0.72127,1.01712,0.97621,0.35155,0.4792,0.29822,1.90313,2.11984,1.58814,9.76562e-06,9.76562e-06,9.76562e-06
94,69.0391,0.67218,0.94732,1.15479,0.97621,0.35155,0.4792,0.29822,1.90313,2.11984,1.58814,8.77613e-06,8.77613e-06,8.77613e-06
95,69.6842,0.72312,0.88498,1.18493,0.97621,0.35155,0.4792,0.29822,1.90313,2.11984,1.58814,7.76308e-06,7.76308e-06,7.76308e-06
96,70.3396,0.89646,1.00158,1.36145,0.97515,0.35157,0.52116,0.34788,1.87831,2.043,1.56768,6.72648e-06,6.72648e-06,6.72648e-06
97,70.9923,0.61957,0.70717,1.00704,0.97515,0.35157,0.52116,0.34788,1.87831,2.043,1.56768,5.6663e-06,5.6663e-06,5.6663e-06
98,71.6444,0.58371,0.78851,1.06927,0.97515,0.35157,0.52116,0.34788,1.87831,2.043,1.56768,4.58257e-06,4.58257e-06,4.58257e-06
99,72.3192,0.71094,0.88531,1.24474,0.97515,0.35157,0.52116,0.34788,1.87831,2.043,1.56768,3.47528e-06,3.47528e-06,3.47528e-06
100,73.0153,0.57373,0.72752,1.0475,0.97493,0.35159,0.55715,0.35824,1.85848,1.97778,1.54802,2.34442e-06,2.34442e-06,2.34442e-06
