epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,119.102,0.72145,1.12333,1.1946,0.87133,0.41667,0.70023,0.4241,1.8476,1.83885,1.5334,2.64447e-05,2.64447e-05,2.64447e-05
70,120.737,0.98061,0.93037,1.43796,0.87133,0.41667,0.70023,0.4241,1.8476,1.83885,1.5334,2.60207e-05,2.60207e-05,2.60207e-05
71,122.464,1.01007,1.38224,1.36791,0.87133,0.41667,0.70023,0.4241,1.8476,1.83885,1.5334,2.55731e-05,2.55731e-05,2.55731e-05
72,124.668,0.69181,0.73303,1.18327,0.87381,0.41667,0.69959,0.45792,1.85376,1.83405,1.52764,2.5102e-05,2.5102e-05,2.5102e-05
73,126.813,0.75192,1.13018,1.11998,0.87381,0.41667,0.69959,0.45792,1.85376,1.83405,1.52764,2.46073e-05,2.46073e-05,2.46073e-05
74,128.562,0.81,0.82683,1.32177,0.87381,0.41667,0.69959,0.45792,1.85376,1.83405,1.52764,2.40891e-05,2.40891e-05,2.40891e-05
75,130.268,0.78476,0.68586,1.19184,0.87178,0.41667,0.70105,0.42243,1.86266,1.87165,1.5461,2.35472e-05,2.35472e-05,2.35472e-05
76,131.991,0.82137,1.01115,1.30355,0.87178,0.41667,0.70105,0.42243,1.86266,1.87165,1.5461,2.29819e-05,2.29819e-05,2.29819e-05
77,133.706,0.74538,0.76131,1.16996,0.87178,0.41667,0.70105,0.42243,1.86266,1.87165,1.5461,2.23929e-05,2.23929e-05,2.23929e-05
78,135.512,0.86563,1.30611,1.20259,0.87173,0.41667,0.61937,0.37427,1.88113,1.92491,1.56298,2.17805e-05,2.17805e-05,2.17805e-05
79,137.164,0.68647,1.03588,1.17759,0.87173,0.41667,0.61937,0.37427,1.88113,1.92491,1.56298,2.11444e-05,2.11444e-05,2.11444e-05
80,138.807,0.7519,1.00224,1.2148,0.87173,0.41667,0.61937,0.37427,1.88113,1.92491,1.56298,2.04848e-05,2.04848e-05,2.04848e-05
81,140.505,0.53825,0.58641,1.0139,0.87418,0.41667,0.59144,0.36472,1.86654,1.95303,1.5611,1.98016e-05,1.98016e-05,1.98016e-05
82,142.182,0.88067,0.80837,1.2113,0.87418,0.41667,0.59144,0.36472,1.86654,1.95303,1.5611,1.90949e-05,1.90949e-05,1.90949e-05
83,143.854,0.79305,0.92042,1.1962,0.87418,0.41667,0.59144,0.36472,1.86654,1.95303,1.5611,1.83646e-05,1.83646e-05,1.83646e-05
84,145.581,0.75668,0.8192,1.13616,0.84879,0.4,0.59087,0.3611,1.86448,1.94549,1.55461,1.76107e-05,1.76107e-05,1.76107e-05
85,147.239,0.69857,0.83104,1.19768,0.84879,0.4,0.59087,0.3611,1.86448,1.94549,1.55461,1.68333e-05,1.68333e-05,1.68333e-05
